"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"88148","DOMMARTIN LES REMIREMONT","88200","DOMMARTIN LES REMIREMONT",,"47.98881978572272,6.652129550292059","47.98881978572272","6.652129550292059"
"88149","DOMMARTIN LES VALLOIS","88260","DOMMARTIN LES VALLOIS",,"48.155766116491776,6.085307847653963","48.155766116491776","6.085307847653963"
"88150","DOMMARTIN SUR VRAINE","88170","DOMMARTIN SUR VRAINE",,"48.34299481316495,5.911780930714635","48.34299481316495","5.911780930714635"
"88151","DOMPAIRE","88270","DOMPAIRE",,"48.22601393435029,6.209329225034216","48.22601393435029","6.209329225034216"
"88152","DOMPIERRE","88600","DOMPIERRE",,"48.24850840744189,6.566320795725515","48.24850840744189","6.566320795725515"
"88153","DOMPTAIL","88700","DOMPTAIL",,"48.44517434938456,6.617439360569708","48.44517434938456","6.617439360569708"
"88154","DOMREMY LA PUCELLE","88630","DOMREMY LA PUCELLE",,"48.44085545633061,5.656638542550615","48.44085545633061","5.656638542550615"
"88155","DOMVALLIER","88500","DOMVALLIER",,"48.30304897803351,6.080270120787127","48.30304897803351","6.080270120787127"
"88156","DONCIERES","88700","DONCIERES",,"48.39014264485028,6.634431435307021","48.39014264485028","6.634431435307021"
"88157","DOUNOUX","88220","DOUNOUX",,"48.10682183864247,6.442297035645712","48.10682183864247","6.442297035645712"
"88158","ELOYES","88510","ELOYES",,"48.0914709334006,6.623773251124928","48.0914709334006","6.623773251124928"
"88159","ENTRE DEUX EAUX","88650","ENTRE DEUX EAUX",,"48.23920784326173,7.000514038478224","48.23920784326173","7.000514038478224"
"88160","EPINAL","88000","EPINAL",,"48.1637076678839,6.486674219034196","48.1637076678839","6.486674219034196"
"88161","ESCLES","88260","ESCLES",,"48.11893653144025,6.164930152024252","48.11893653144025","6.164930152024252"
"88162","ESLEY","88260","ESLEY",,"48.175305359403055,6.060416871669821","48.175305359403055","6.060416871669821"
"88163","ESSEGNEY","88130","ESSEGNEY",,"48.37931906149432,6.344912094933846","48.37931906149432","6.344912094933846"
"88164","ESTRENNES","88500","ESTRENNES",,"48.260321536615976,6.056520000110005","48.260321536615976","6.056520000110005"
"88165","ETIVAL CLAIREFONTAINE","88480","ETIVAL CLAIREFONTAINE",,"48.36662989556454,6.835116496589897","48.36662989556454","6.835116496589897"
"88166","EVAUX ET MENIL","88450","EVAUX ET MENIL",,"48.32525072973034,6.3023238734369365","48.32525072973034","6.3023238734369365"
"88167","FAUCOMPIERRE","88460","FAUCOMPIERRE",,"48.13975145291511,6.663939157677362","48.13975145291511","6.663939157677362"
"88168","FAUCONCOURT","88700","FAUCONCOURT",,"48.37200591853314,6.538762270240888","48.37200591853314","6.538762270240888"
"88169","FAYS","88600","FAYS",,"48.19710614526738,6.668989103362211","48.19710614526738","6.668989103362211"
"88170","FERDRUPT","88360","FERDRUPT",,"47.909893958068196,6.72238162510516","47.909893958068196","6.72238162510516"
"88171","FIGNEVELLE","88410","FIGNEVELLE",,"47.98462967926343,5.910513571506259","47.98462967926343","5.910513571506259"
"88172","FIMENIL","88600","FIMENIL",,"48.17201842630226,6.711068417029319","48.17201842630226","6.711068417029319"
"88173","FLOREMONT","88130","FLOREMONT",,"48.3712413097705,6.25340602972892","48.3712413097705","6.25340602972892"
"88174","FOMEREY","88390","FOMEREY",,"48.217949854707655,6.343047972619338","48.217949854707655","6.343047972619338"
"88175","FONTENAY","88600","FONTENAY",,"48.2144499873861,6.588045582035848","48.2144499873861","6.588045582035848"
"88176","FONTENOY LE CHATEAU","88240","FONTENOY LE CHATEAU",,"47.977908262316575,6.20621551172186","47.977908262316575","6.20621551172186"
"88176","FONTENOY LE CHATEAU","88240","FONTENOY LE CHATEAU","LE MAGNY","47.977908262316575,6.20621551172186","47.977908262316575","6.20621551172186"
