"N°Stock Mouvement","Date Mouvement","Nature Mouvement","Quantité Mouvement"
692,2015-03-24,1,18.00
838,2015-05-07,1,20.00
839,2015-05-07,1,20.00
840,2015-05-07,1,91.00
841,2015-05-07,1,78.00
842,2015-05-07,1,13.00
843,2015-05-07,1,13.00
844,2015-05-07,1,36.00
845,2015-05-07,1,24.00
846,2015-05-07,1,60.00
847,2015-05-07,1,36.00
848,2015-05-07,1,112.00
849,2015-05-07,1,36.00
850,2015-05-07,1,36.00
851,2015-05-07,1,12.00
852,2015-05-07,1,18.00
853,2015-05-07,1,24.00
854,2015-05-07,1,24.00
855,2015-05-07,1,30.00
856,2015-05-07,1,25.00
819,2015-05-07,1,36.00
820,2015-05-07,1,24.00
821,2015-05-07,1,112.00
822,2015-05-07,1,60.00
823,2015-05-07,1,36.00
824,2015-05-07,1,92.50
825,2015-05-07,1,92.50
826,2015-05-07,1,48.00
827,2015-05-07,1,48.00
828,2015-05-07,1,12.00
829,2015-05-07,1,12.00
830,2015-05-07,1,27.00
831,2015-05-07,1,27.00
832,2015-05-07,1,36.00
833,2015-05-07,1,36.00
834,2015-05-07,1,70.00
835,2015-05-07,1,72.00
857,2015-05-14,1,36.00
858,2015-05-14,1,48.00
859,2015-05-14,1,12.00
860,2015-05-14,1,8.00
861,2015-05-14,1,36.00
862,2015-05-14,1,6.00
863,2015-05-14,1,30.00
864,2015-05-14,1,27.00
865,2015-05-14,1,40.00
866,2015-05-14,1,39.00
867,2015-05-14,1,39.00
868,2015-05-14,1,39.00
869,2015-05-14,1,26.00
870,2015-05-14,1,36.00
871,2015-05-14,1,48.00
872,2015-05-14,1,6.00
873,2015-05-14,1,39.00
874,2015-05-14,1,52.00
875,2015-05-14,1,26.00
876,2015-05-14,1,40.00
877,2015-05-21,1,36.00
878,2015-05-19,1,208.00
879,2015-05-26,1,6.00
880,2015-05-21,1,17.00
881,2015-05-26,1,55.50
882,2015-05-19,1,129.50
883,2015-05-19,1,42.00
884,2015-05-19,1,15.00
885,2015-05-26,1,30.00
886,2015-05-26,1,50.00
887,2015-05-21,1,20.00
888,2015-05-19,1,120.00
889,2015-05-26,1,20.00
890,2015-05-21,1,39.00
891,2015-05-21,1,39.00
892,2015-05-21,1,39.00
893,2015-05-26,1,52.00
894,2015-05-21,1,26.00
895,2015-05-21,1,36.00
896,2015-05-26,1,6.00
897,2015-05-19,1,208.00
898,2015-05-21,1,39.00
899,2015-05-19,1,130.00
900,2015-05-21,1,39.00
