id,vegetal,action,materiel_id,stock,plan palette,memo,main oeuvre,rendement,nb graine,vegetal,semaine début,semaine fin,action,rendement,anticipation,hebdomadaire,actif,conversion,date mise à jour
388,299,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
389,300,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
390,301,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
391,302,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
392,303,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
393,304,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
394,305,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
395,306,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
396,307,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
397,308,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
398,309,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
399,310,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
401,313,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
402,314,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
403,315,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
404,316,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
405,317,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
406,318,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
407,319,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
408,320,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
410,322,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
411,323,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
412,324,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
413,325,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
414,326,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
415,327,1,,23,,,,,,,43,44,,1.00,0.00,0,1,1.00,11/10/2022 16:30:21
417,329,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
418,330,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
421,333,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
422,334,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
423,335,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
424,336,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
425,337,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,30/9/2021 13:39:28
426,338,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
427,339,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
429,342,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
430,343,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
431,344,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
433,346,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
434,347,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
436,349,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
437,350,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
439,352,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
440,353,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
441,354,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
442,355,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
443,356,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
444,357,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
445,922,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
447,360,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
448,361,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
449,362,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
450,363,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
452,365,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
453,366,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
454,367,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
455,368,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,25/11/2021 10:12:34
456,369,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
457,370,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
458,371,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
459,372,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
460,373,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
461,374,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
462,375,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
463,376,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
465,378,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
466,379,1,,23,,,,,,,01,01,1.00,1.00,1.00,0,1,1.00,10/1/2022 10:24:58
467,380,1,,23,,,,,,,05,05,1.00,1.00,0.00,0,1,1.00,
474,136,1,,,,,,,,,01,01,,1.00,0.00,0,1,1.00,
475,139,1,,,,,,,,,01,01,,1.00,0.00,0,1,1.00,
477,141,1,,23,,,1,,,,01,01,1.00,1.00,0.00,0,1,1.00,
479,143,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
480,208,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
481,98,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
483,146,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
484,147,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
485,148,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
486,149,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
487,150,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
488,151,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
489,152,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
490,153,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
491,154,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
492,155,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
494,157,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
496,159,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
497,160,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
498,161,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
500,163,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
501,164,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,16/11/2021 08:48:48
502,165,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
503,166,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
505,168,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
507,171,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,2/12/2021 13:35:32
508,172,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
509,173,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
510,174,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
511,175,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
512,176,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
514,178,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
515,179,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
516,180,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
517,181,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
518,182,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
519,183,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
520,184,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
521,185,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
522,187,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
523,188,1,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
524,189,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
525,190,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
528,193,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
529,194,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
530,195,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
