source,produit,densite
1225,39,1
1227,709,
1227,727,150
1227,1389,
1228,407,60
1228,935,
1230,835,5
1231,1234,
1232,1234,
1233,1234,
1235,402,1
1235,743,
1240,58,
1240,455,3
1241,58,
1241,455,3
1242,1234,100
1243,1234,100
1244,1234,100
1245,66,1
1246,1032,8
1247,1041,5
1248,58,
1249,59,18
1250,1234,
1251,68,2
1261,392,
1263,463,
1264,88,
1265,777,
1266,1268,
1267,1254,
1269,1255,
1270,1256,
1271,1116,
1272,391,
1273,777,
1275,412,
1276,391,
1276,459,8
1277,435,10
1277,463,
1281,728,100
1282,21,
1282,108,1
1283,727,100
1283,969,
1285,1068,
1285,1070,1
1286,2,
1286,410,150
1287,950,
1287,1334,3
1288,19,
1288,107,1
1289,19,
1289,107,1
1290,21,
1290,108,1
1292,62,
1292,1337,1
1293,62,40
1295,80,
1296,391,
1296,459,5
1296,1386,
1297,392,
1297,1299,8
1298,1034,8
1298,1035,
1299,392,
1300,1234,
1301,1234,
1302,765,5
1302,1060,
1303,87,
1303,407,100
1304,328,270
1305,4,
1305,100,1
1306,406,100
1306,969,
1307,403,1
1308,403,1
1309,911,
1309,1130,1
1310,87,
1310,407,100
1311,62,40
1311,1348,1
1312,33,
1312,1328,1
1315,102,1
1315,285,
1316,40,
1316,117,3
1317,38,
1318,39,330
1320,92,
1321,12,
1322,72,
1323,835,
1324,34,
1324,735,1
1328,33,2
1329,68,
1329,1251,100
1330,731,100
1330,969,
1331,873,100
1331,969,
1332,25,
1332,446,1
1334,950,
1335,412,
1336,58,18
1337,1245,1
1338,392,
1339,392,
1340,400,
1341,1025,
1342,777,
1343,1344,
1345,1083,
1346,777,
1347,900,
1348,62,40
1350,1234,
1351,1234,
1352,1234,
1353,1234,
1354,1234,
1355,40,
1355,117,3
1356,59,
1356,454,3
1357,120,1
1357,387,
1358,53,
1358,123,1
1359,53,
1359,106,1
1360,734,1
1360,992,
1361,120,1
1362,2,
1362,410,150
1363,68,
1363,547,150
1364,68,
1364,479,150
1365,99,1
1366,42,
1366,121,1
1367,53,
1367,103,
1368,773,100
1368,969,
1369,4,
1369,99,1
1370,42,
1370,122,1
1371,120,1
1371,387,
1372,4,
1372,100,1
1373,4,
1373,100,1
1374,4,
1374,100,1
1375,119,1
1375,387,
1377,18,
1377,364,1
1378,51,
1378,128,3
1379,51,
