"N°Stock","Code Végétal Stock","Code Matériel Stock","Code Fournisseur Stock","Date entrée stock","Qtte Stock","Unité Stock","Unité par contenant Stock","N°Contenant Stock","Qtte contenant Stock","Tarif  Unitaire HT Achat Stock","Tarif  Unitaire TTC Achat Stock","N°Commande/Achat Stock","N° Lot Stock","DLUT Stock","Zone Stockage Stock","N°Stock Calculé","Caractéristique Stock"
144,8,,70,2014-10-13,281.50,"kg",18.00,1,35.00,,,,"13/10/2014",2015-4-11,,"2014-8-13/10/2014"
145,68,,70,2014-10-13,450.00,"pièce(s)",50.00,2,30.00,,,,"13/10/2014",2014-10-23,,"2014-68-13/10/2014"
146,86,,70,2014-10-13,170.00,"kg",6.00,3,80.00,,,,"13/10/2014",2014-10-28,,"2014-86-13/10/2014"
147,8,,70,2014-10-20,521.00,"kg",18.00,1,35.00,,,,"20/10/2014",2015-4-18,,"2014-8-20/10/2014"
148,68,,70,2014-10-20,224.00,"pièce(s)",50.00,2,30.00,,,,"20/10/2014",2014-10-30,,"2014-68-20/10/2014"
149,86,,70,2014-10-20,199.00,"kg",6.00,3,80.00,,,,"20/10/2014",2014-11-4,,"2014-86-20/10/2014"
150,8,,70,2014-10-27,206.50,"kg",18.00,1,35.00,,,,"27/10/2014",2015-4-25,,"2014-8-27/10/2014"
151,8,,70,2014-11-3,472.10,"kg",18.00,1,35.00,,,,"03/11/2014",2015-5-2,,"2014-8-03/11/2014"
152,8,,70,2014-11-10,599.50,"kg",18.00,1,35.00,,,,"10/11/2014",2015-5-9,,"2014-8-10/11/2014"
153,8,,70,2014-11-17,469.80,"kg",18.00,1,35.00,,,,"17/11/2014",2015-5-16,,"2014-8-17/11/2014"
154,53,,70,2014-11-17,46.00,"kg",2.00,6,64.00,,,,"17/11/2014",2014-11-24,,"2014-53-17/11/2014"
155,8,,70,2014-11-24,444.50,"kg",18.00,1,35.00,,,,"24/11/2014",2015-5-23,,"2014-8-24/11/2014"
156,20,,70,2014-11-24,98.00,"pièce(s)",10.00,1,35.00,,,,"24/11/2014",2015-1-23,,"2014-20-24/11/2014"
157,21,,70,2014-11-24,162.40,"pièce(s)",100.00,2,30.00,,,,"24/11/2014",2014-12-1,,"2014-21-24/11/2014"
