compta;facture,jour;article;libelle;qte;pu;montant
AMBITLA01;FA23000017;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
AMBITLA01;FA2400020;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
AMBITLA01;AFA2500020;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
AMBITLA01;AFA2600016;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
AMBLASO01;FA20003019;2020-03-31 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
AMBLASO01;FA2100027;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
AMBLASO01;FA2200021;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
AMBLASO01;FA23000018;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
AMBLASO01;FV23000002;2023-01-13 00:00:00.000;ACOT;Cotisation annuelle;-1.000000;30.000000;-30.000000
AMETMA01;FA20000017;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
AMETMA01;FA2100028;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
AMETMA01;FA2200022;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
AMETMA01;FA23000019;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
AMETMA01;FA2400021;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
AMETMA01;AFA2500021;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
AMETMA01;AFA2600017;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
AMETNA01;FA20000018;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
AMETNA01;FA2100029;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
AMETNA01;FA2200023;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
AMETNA01;AFA2600018;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
AMETSU01;AFA2503104;2025-06-26 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
AMETSU01;AFA2600019;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANCELAL01;FA20000020;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANCELAL01;FA2100052;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANCELAL01;FA2200046;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANCELAL01;FA23000042;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANCELAL01;FA2400067;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANCELAL01;AFA2500041;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANCELAL01;AFA2600040;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANCELAU01;FA20000022;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANCELAU01;FA2100032;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANCELAU01;FA2200026;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANCELAU01;FA23000022;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANCELAU01;FA2400024;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANCELAU01;AFA2500023;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANCELAU01;AFA2600022;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANCELIS01;FA20002602;2020-01-23 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANCELIS01;FA2100033;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANCELIS01;FV2100126;2021-06-04 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
ANCELJU01;FA20000021;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANCELJU01;FA2100031;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANCELJU01;FA2200025;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANCELJU01;FA23000021;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANCELJU01;FA2400023;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
