livraison_id,abonnement_id,qte,livre,depot_id,adherent_id,annee,jour,produit_id,semaine,distribution
1887128,26158,1,1,14,258794,2024,2024-05-03,1,18,7
1887129,26158,1,1,14,258794,2024,2024-05-10,1,19,7
1887130,26158,1,1,14,258794,2024,2024-05-17,1,20,7
1887131,26158,1,1,14,258794,2024,2024-05-24,1,21,7
1887132,26158,1,1,14,258794,2024,2024-05-31,1,22,7
1887133,26158,1,1,14,258794,2024,2024-06-07,1,23,7
1887134,26158,1,1,14,258794,2024,2024-06-14,1,24,7
1887135,26158,1,1,14,258794,2024,2024-06-21,1,25,7
1887136,26158,1,1,14,258794,2024,2024-06-28,1,26,7
1887137,26158,1,1,14,258794,2024,2024-07-05,1,27,7
1887138,26158,1,1,14,258794,2024,2024-07-12,1,28,7
1887139,26158,1,1,14,258794,2024,2024-07-19,1,29,7
1887140,26158,1,1,14,258794,2024,2024-07-26,1,30,7
1887141,26158,1,1,14,258794,2024,2024-08-02,1,31,7
1887144,26158,2,1,14,258794,2024,2024-08-23,1,34,7
1887145,26158,1,1,14,258794,2024,2024-08-30,1,35,7
1887146,26158,2,1,14,258794,2024,2024-09-06,1,36,7
1887147,26158,1,1,14,258794,2024,2024-09-13,1,37,7
1887148,26158,1,1,14,258794,2024,2024-09-20,1,38,7
1887149,26158,1,1,14,258794,2024,2024-09-27,1,39,7
1887150,26158,1,1,14,258794,2024,2024-10-04,1,40,7
1887151,26158,1,1,14,258794,2024,2024-10-11,1,41,7
1887152,26158,1,1,14,258794,2024,2024-10-18,1,42,7
1887153,26158,1,1,14,258794,2024,2024-10-25,1,43,7
1887154,26158,1,1,14,258794,2024,2024-10-31,1,44,7
1887155,26158,1,1,14,258794,2024,2024-11-08,1,45,7
1887156,26158,1,1,14,258794,2024,2024-11-15,1,46,7
1887157,26158,1,1,14,258794,2024,2024-11-22,1,47,7
1887158,26158,1,1,14,258794,2024,2024-11-29,1,48,7
1887159,26158,1,1,14,258794,2024,2024-12-06,1,49,7
1887160,26158,1,1,14,258794,2024,2024-12-13,1,50,7
1887161,26158,1,1,14,258794,2024,2024-12-20,1,51,7
1887162,26159,1,1,1,21,2024,2024-01-12,1,2,8
1887163,26159,1,1,1,21,2024,2024-01-19,1,3,8
1887164,26159,1,1,1,21,2024,2024-01-26,1,4,8
1887165,26159,1,1,1,21,2024,2024-02-02,1,5,8
1887166,26159,1,1,1,21,2024,2024-02-09,1,6,8
1887167,26159,1,1,1,21,2024,2024-02-16,1,7,8
1887168,26159,1,1,1,21,2024,2024-02-23,1,8,8
1887169,26159,1,1,1,21,2024,2024-03-01,1,9,8
1887170,26159,1,1,1,21,2024,2024-03-08,1,10,8
1887171,26159,1,1,1,21,2024,2024-03-15,1,11,8
1887172,26159,1,1,1,21,2024,2024-03-22,1,12,8
1887173,26159,1,1,1,21,2024,2024-03-29,1,13,8
1887174,26159,1,1,1,21,2024,2024-04-05,1,14,8
1887175,26159,1,1,1,21,2024,2024-04-12,1,15,8
1887181,26159,2,1,1,21,2024,2024-05-24,1,21,8
1887182,26159,2,1,1,21,2024,2024-05-31,1,22,8
1887183,26159,2,1,1,21,2024,2024-06-07,1,23,8
1887184,26159,2,1,1,21,2024,2024-06-14,1,24,8
1887185,26159,2,1,1,21,2024,2024-06-21,1,25,8
1887186,26159,1,1,1,21,2024,2024-06-28,1,26,8
1887187,26159,1,1,1,21,2024,2024-07-05,1,27,8
1887188,26159,1,1,1,21,2024,2024-07-12,1,28,8
1887189,26159,1,1,1,21,2024,2024-07-19,1,29,8
1887190,26159,1,1,1,21,2024,2024-07-26,1,30,8
1887191,26159,1,1,1,21,2024,2024-08-02,1,31,8
1887192,26159,1,1,1,21,2024,2024-08-09,1,32,8
1887193,26159,1,1,1,21,2024,2024-08-16,1,33,8
1887194,26159,1,1,1,21,2024,2024-08-23,1,34,8
1887195,26159,1,1,1,21,2024,2024-08-30,1,35,8
1887196,26159,1,1,1,21,2024,2024-09-06,1,36,8
1887197,26159,1,1,1,21,2024,2024-09-13,1,37,8
1887198,26159,1,1,1,21,2024,2024-09-20,1,38,8
1887199,26159,1,1,1,21,2024,2024-09-27,1,39,8
1887200,26159,1,1,1,21,2024,2024-10-04,1,40,8
1887201,26159,1,1,1,21,2024,2024-10-11,1,41,8
1887202,26159,1,1,1,21,2024,2024-10-18,1,42,8
1887203,26159,1,1,1,21,2024,2024-10-25,1,43,8
1887204,26159,1,1,1,21,2024,2024-10-31,1,44,8
1887205,26159,1,1,1,21,2024,2024-11-08,1,45,8
1887206,26159,1,1,1,21,2024,2024-11-15,1,46,8
1887207,26159,1,1,1,21,2024,2024-11-22,1,47,8
1887208,26159,1,1,1,21,2024,2024-11-29,1,48,8
1887209,26159,1,1,1,21,2024,2024-12-06,1,49,8
1887210,26159,1,1,1,21,2024,2024-12-13,1,50,8
1887211,26159,1,1,1,21,2024,2024-12-20,1,51,8
1887212,26160,1,1,13,258036,2024,2024-01-10,1,2,4
1887213,26160,1,1,13,258036,2024,2024-01-17,1,3,4
1887215,26160,1,1,13,258036,2024,2024-01-31,1,5,4
1887216,26160,1,1,13,258036,2024,2024-02-07,1,6,4
1887217,26160,1,1,13,258036,2024,2024-02-14,1,7,4
1887219,26160,1,1,13,258036,2024,2024-02-28,1,9,4
1887220,26160,1,1,13,258036,2024,2024-03-06,1,10,4
1887221,26160,1,1,13,258036,2024,2024-03-13,1,11,4
1887222,26160,1,1,13,258036,2024,2024-03-20,1,12,4
1887223,26160,1,1,13,258036,2024,2024-03-27,1,13,4
1887224,26160,1,1,13,258036,2024,2024-04-03,1,14,4
1887225,26160,1,1,13,258036,2024,2024-04-10,1,15,4
1887262,26161,1,1,1,220,2024,2024-01-10,1,2,5
1887263,26161,1,1,1,220,2024,2024-01-17,1,3,5
1887264,26161,1,1,1,220,2024,2024-01-24,1,4,5
1887265,26161,1,1,1,220,2024,2024-01-31,1,5,5
1887266,26161,1,1,1,220,2024,2024-02-07,1,6,5
1887267,26161,1,1,1,220,2024,2024-02-14,1,7,5
1887268,26161,1,1,1,220,2024,2024-02-21,1,8,5
1887269,26161,1,1,1,220,2024,2024-02-28,1,9,5
1887270,26161,1,1,1,220,2024,2024-03-06,1,10,5
1887271,26161,1,1,1,220,2024,2024-03-13,1,11,5
1887272,26161,1,1,1,220,2024,2024-03-20,1,12,5
1887273,26161,1,1,1,220,2024,2024-03-27,1,13,5
1887274,26161,1,1,1,220,2024,2024-04-03,1,14,5
1887275,26161,1,1,1,220,2024,2024-04-10,1,15,5
1887276,26161,1,1,1,220,2024,2024-04-17,1,16,5
1887277,26161,1,1,1,220,2024,2024-04-24,1,17,5
1887278,26161,1,1,1,220,2024,2024-04-30,1,18,5
1887279,26161,1,1,1,220,2024,2024-05-07,1,19,5
1887280,26161,1,1,1,220,2024,2024-05-15,1,20,5
1887281,26161,1,1,1,220,2024,2024-05-22,1,21,5
1887282,26161,1,1,1,220,2024,2024-05-29,1,22,5
