régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
7,84831,CINETOILE ROCHEVILLE,PROVENCE-ALPES-COTE D'AZUR,2 AVENUE FRANKLIN ROOSEVELT,06030,Le Cannet,42524,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,88,53,737,14908,13711,8.7,De 10 à 20 000 entrées,,OUI,C,,FIXE,NON,B,227,190,2,55.8,24.2,16.6,3.4,116,47.1,41.2,43.56912,7.005225
3,84981,ESPACE CULTUREL FRANCOIS MITTERRAND,NORMANDIE,PARC GEORGES PIERRE,76157,Canteleu,14157,76,00755,Rouen,481277,04-Unités urbaines de 100 000 hbts ou plus,1,170,50,130,5097,3844,32.6,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,56,45,0,59.3,16.6,16.4,7.7,28,58.1,61.5,49.452077,1.037664
4,85211,RIO CINEMA,NOUVELLE AQUITAINE,ALLEES MARINES,40065,Capbreton,9494,40,40301,Capbreton,13078,06-autres communes et unités urbaines,1,172,53,802,24499,22165,10.5,De 20 à 30 000 entrées,,OUI,E,,FIXE,NON,C,209,179,78,61.5,25.2,12.6,0.8,110,31.2,25.4,43.641276,-1.432502
4,85323,ATMOSPHERE,OCCITANIE,3 RUE ANATOLE FRANCE,12052,Capdenac-Gare,4516,12,12106,Capdenac-Gare,4516,06-autres communes et unités urbaines,1,263,51,762,14543,13145,10.6,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,B,212,170,1,63.7,18.6,12.8,4.9,136,54.4,46.2,44.574792,2.081445
4,85851,CENTRE AUDIOVISUEL,NOUVELLE AQUITAINE,PLACE DU FOIRAIL,33095,Captieux,1364,33,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,195,48,319,3015,2073,45.4,De 2 à 5 000 entrées,,OUI,E,,FIXE,NON,R,170,138,0,73.2,14.5,10.9,1.3,82,41.3,36.3,44.292217,-0.259312
4,85861,Casino,OCCITANIE,Casino MUNICIPAL,65127,Capvern,1289,65,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,99,51,173,3074,3921,-21.6,De 2 à 5 000 entrées,,OUI,E,,FIXE,NON,R,143,115,0,81.6,8.9,7.7,1.9,86,55.6,47.2,43.120092,0.309567
3,85902,ETOILE,BRETAGNE,11 RUE DUQUESNE,29023,Carantec,3309,29,29131,Carantec,4573,06-autres communes et unités urbaines,1,161,53,390,11970,11337,5.6,De 10 à 20 000 entrées,,OUI,E,JPPR,FIXE,NON,C,263,205,0,68.2,11.3,15.4,5.2,184,65.4,55.6,48.667568,-3.912861
4,85981,FAVOLS,NOUVELLE AQUITAINE,AVENUE VIGNAU-ANGLADE,33096,Carbon-Blanc,8355,33,33701,Bordeaux,1008323,04-Unités urbaines de 100 000 hbts ou plus,1,196,43,190,5201,6690,-22.3,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,147,129,2,73.9,7.5,9.6,9.1,89,59.3,58.9,44.895434,-0.508506
4,85993,CINE CARBONNE,OCCITANIE,BOIS DE CASTRES,31107,Carbonne,5954,31,31208,Carbonne,6946,06-autres communes et unités urbaines,1,206,53,545,12845,11847,8.4,De 10 à 20 000 entrées,,OUI,E,JPPR,FIXE,NON,C,390,315,1,60.3,15.7,11.4,12.6,272,67.6,67.8,43.286407,1.200892
4,86031,CENTRE CULTUREL DE L ESTRAN,NOUVELLE AQUITAINE,123 AVENUE DE MAUBUISSON,33097,Carcans,2455,33,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,248,49,196,4787,3735,28.2,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,R,99,85,0,57.6,35.5,6.6,0.4,23,13.8,6.2,45.069909,-1.142214
7,86072,CGR LE COLISEE,OCCITANIE,10 BD OMER SARRAUT,11069,Carcassonne,47854,11,11401,Carcassonne,48814,05-Unités urbaines de 20 000 à 100 000 hbts,3,263,53,4660,54237,54875,-1.2,De 50 à 80 000 entrées,CGR,OUI,D,RDJPPR,FIXE,NON,C,401,239,136,56.6,16.6,21.0,5.7,340,95.5,91.2,43.216587,2.352707
7,86103,CGR CARCASSONNE,OCCITANIE,ZONE DU PONT ROUGE,11069,Carcassonne,47854,11,11401,Carcassonne,48814,05-Unités urbaines de 20 000 à 100 000 hbts,10,1945,53,16447,265627,257747,3.1,De 200 à 300 000 entrées,CGR,NON,NON,,FIXE,OUI,C,229,166,159,41.1,42.4,15.2,1.3,36,9.4,4.3,43.235546,2.367714
7,86173, SLE COMMUNALE DU FOYER RURAL,PROVENCE-ALPES-COTE D'AZUR,31 RUE MARECHAL FOCH,83032,Carcès,3470,83,83114,Carcès,3470,06-autres communes et unités urbaines,1,,50,307,6564,6808,-3.6,De 5 à 10 000 entrées,,NON,NON,,ITINERANT,NON,C,89,70,4,59.4,24.6,14.4,1.5,38,35.8,37.1,43.4765018,6.182329100000061
3,86313,LE COTENTIN,NORMANDIE,RUE HOLGATE,50099,Carentan les Marais,10389,50,50301,Carentan-les-Marais,10389,06-autres communes et unités urbaines,2,316,53,2241,36148,32201,12.3,De 30 à 40 000 entrées,,OUI,E,JP,FIXE,NON,C,290,198,52,59.4,28.3,10.9,1.4,162,23.7,19.8,49.302896,-1.247604
3,86353,LE GRAND BLEU,BRETAGNE,CENTRE CULTUREL,29024,Carhaix-Plouguer,7773,29,00267,Carhaix-Plouguer,9523,06-autres communes et unités urbaines,1,215,53,1003,32273,30019,7.5,De 30 à 40 000 entrées,,OUI,E,JPPR,FIXE,NON,C,311,231,22,52.1,28.8,15.4,3.7,183,45.9,30.1,48.283143,-3.572343
4,86544,CLAP CINE,OCCITANIE,3 AVENUE JEAN JAURES,81060,Carmaux,10036,81,81303,Carmaux,18827,06-autres communes et unités urbaines,4,573,53,4919,56260,53619,4.9,De 50 à 80 000 entrées,,OUI,E,JPPR,FIXE,NON,C,306,215,111,52.5,31.6,12.6,3.2,172,27.9,25.2,44.049028,2.157496
